run_id,operation,profile,mean_point_ns,mean_ci_low_ns,mean_ci_high_ns,median_point_ns,median_ci_low_ns,median_ci_high_ns
2026-08-15-m4-ac-run08,activate_receiver,MLKEM768-X25519,170154.30808848565,169521.0181181079,170850.1489134845,170716.66285162716,170421.33620689655,170870.89655707194
2026-08-15-m4-ac-run08,activate_sender,MLKEM1024,134565.93408058255,134359.8300038076,134815.85181936627,134254.08866279072,134193.00662202382,134303.70777027027
2026-08-15-m4-ac-run08,activate_sender,MLKEM768,88465.38294244364,88332.94663967968,88623.10346911062,88246.76310741687,88220.45312950938,88285.4502688172
2026-08-15-m4-ac-run08,activate_sender,MLKEM768-X25519,123149.21863756282,123052.48011529681,123248.7721591846,123100.85297619048,123079.48542568542,123140.00100110966
2026-08-15-m4-ac-run08,binding,MLKEM1024,16.03049745867359,15.979988696751366,16.08316119297788,16.05141033926311,15.907551446680465,16.08909808602369
2026-08-15-m4-ac-run08,binding,MLKEM768,15.966008397003089,15.897776932848714,16.040381062700494,15.884758875402383,15.849453891714177,15.990432288854583
2026-08-15-m4-ac-run08,binding,MLKEM768-X25519,16.027776676824605,15.938239408766142,16.129124191120695,15.902267377676342,15.85021588195378,16.02240162277583
2026-08-15-m4-ac-run08,establish_channel,MLKEM1024,333592.7353943352,332841.54193252383,334602.66211615584,332542.49606903753,332299.5305039788,332686.46360153257
2026-08-15-m4-ac-run08,establish_channel,MLKEM768,219172.41209109974,218855.61493865342,219552.19306379554,218668.8534770384,218566.44736842104,218760.62857142856
2026-08-15-m4-ac-run08,establish_channel,MLKEM768-X25519,284252.89392521104,283705.13580245123,284856.39028693613,282872.6483633776,282784.1636904762,282955.50462962966
2026-08-15-m4-ac-run08,negotiation,MLKEM1024,2.7881918280051314,2.768796861839224,2.809465757095807,2.7556693566323247,2.7471138465837903,2.779120198721453
2026-08-15-m4-ac-run08,negotiation,MLKEM768,2.9261537833452116,2.881023897127528,2.9769761657390466,2.924586095608827,2.8073565034808157,3.0156056453007323
2026-08-15-m4-ac-run08,negotiation,MLKEM768-X25519,2.7982985484934644,2.784683396735346,2.812112297694739,2.78892249427224,2.7724998652264974,2.816818186668374
2026-08-15-m4-ac-run08,open_1k,MLKEM1024,6140.670792413945,6130.550567090989,6152.616110045178,6121.637316990126,6118.546332046331,6127.102564102564
2026-08-15-m4-ac-run08,open_1k,MLKEM768,6117.934166141219,6112.497570965032,6124.07867556168,6108.950301075269,6104.939928628073,6115.044444444445
2026-08-15-m4-ac-run08,open_1k,MLKEM768-X25519,6125.793295848823,6118.651085666925,6134.123455069004,6111.928996598639,6108.555921052632,6116.87109375
2026-08-15-m4-ac-run08,profile_resolution,MLKEM1024,14.68743888241727,14.66336033419876,14.724384916593047,14.67973180986317,14.646073245779112,14.689329564999298
2026-08-15-m4-ac-run08,profile_resolution,MLKEM768,14.341113723822662,14.317836526647906,14.362808550672185,14.368245889803493,14.348314383453225,14.392099341266167
2026-08-15-m4-ac-run08,profile_resolution,MLKEM768-X25519,12.495482896050028,12.488275419244113,12.504391835402258,12.489214262470263,12.48739318342453,12.490413643872731
2026-08-15-m4-ac-run08,seal_1k,MLKEM1024,6114.415078573647,6103.0722010412255,6129.324331509874,6097.888787878788,6095.325033875339,6102.288642473119
2026-08-15-m4-ac-run08,seal_1k,MLKEM768,6117.653022471355,6103.39211109164,6137.654089066315,6093.125925925926,6089.629787234043,6099.824432989691
2026-08-15-m4-ac-run08,seal_1k,MLKEM768-X25519,6105.539185813357,6095.703299589173,6117.942675942981,6089.434972677595,6085.562774122807,6094.259253316217
2026-08-15-m4-ac-run09,activate_receiver,MLKEM1024,209796.532390556,209200.98736611925,210364.2942469731,210662.98510017115,210377.33055555556,210836.65366046317
2026-08-15-m4-ac-run09,activate_receiver,MLKEM768,140963.7813905866,140389.2889000207,141526.65867416633,141655.04188508063,141448.85793731041,141795.83513513513
